,Name,Rating,Specials,Delivery time,Cost,Coupons
143,Pa Pa Ya,4.4,"Japanese, Asian",55 MINS,₹800 FOR TWO,50% off | Use WELCOME50
144,Bowls & Salads By Greenz,4.4,"Continental, Salads",43 MINS,₹350 FOR TWO,50% off | Use WELCOME50
145,Goa Portuguesa,4.4,Indian,54 MINS,₹1000 FOR TWO,50% off | Use WELCOME50
146,The Dough Therapy,4.4,"Pizzas, Italian",51 MINS,₹800 FOR TWO,50% off | Use WELCOME50
147,Woodside Burger Shop,4.4,"Burgers, Fast Food",51 MINS,₹500 FOR TWO,50% off | Use WELCOME50
148,Wraps and Rolls,4.4,"Fast Food, Healthy Food",48 MINS,₹250 FOR TWO,50% off | Use WELCOME50
149,House of Momo,4.4,"Asian, Chinese",48 MINS,₹200 FOR TWO,50% off | Use WELCOME50
150,Sorrentina Gourmet Italian Store,4.4,"Bakery, Desserts",42 MINS,₹500 FOR TWO,50% off | Use WELCOME50
151,Blue Tokai Coffee Roasters,4.4,Beverages,43 MINS,₹500 FOR TWO,50% off | Use WELCOME50
152,NOTO - Healthy Ice Cream,4.4,"Ice Cream, Healthy Food",36 MINS,₹300 FOR TWO,50% off | Use WELCOME50
153,Rolls & Bites,4.4,Indian,43 MINS,₹250 FOR TWO,50% off | Use WELCOME50
154,Malini's Health Kitchen,4.4,"South Indian, Healthy Food",45 MINS,₹250 FOR TWO,50% off | Use WELCOME50
155,CakeZone,4.4,"Desserts, Bakery",49 MINS,₹200 FOR TWO,50% off | Use WELCOME50
156,Big Burger Buns,4.4,"American, Beverages",39 MINS,₹500 FOR TWO,50% off | Use WELCOME50
157,Puran poli kitchen,4.4,"Indian, Chinese, Combo, Thalis",53 MINS,₹150 FOR TWO,50% off | Use WELCOME50
158,Love & Cheesecake,4.4,Desserts,44 MINS,₹900 FOR TWO,50% off | Use WELCOME50
159,BOSS Burger,4.4,"Burgers, American, Fast Food, Snacks",49 MINS,₹500 FOR TWO,50% off | Use WELCOME50
160,Breakfast Bistro,4.4,"American, European, Continental",43 MINS,₹500 FOR TWO,50% off | Use WELCOME50
161,Sadak Chaap,4.4,"North Indian, Snacks, Beverages",48 MINS,₹300 FOR TWO,50% off | Use WELCOME50
162,Louis Burger,4.4,American,45 MINS,₹600 FOR TWO,50% off | Use WELCOME50
163,Zaffran,4.4,Indian,47 MINS,₹700 FOR TWO,50% off | Use WELCOME50
164,Jumboking Indian Burger,4.4,"American, Mexican, Fast Food, Snacks, Beverages",46 MINS,₹250 FOR TWO,50% off | Use WELCOME50
165,Bunbuoy burgers,4.4,"Snacks, Biryani, Beverages, American",44 MINS,₹500 FOR TWO,50% off | Use WELCOME50
166,Papacream,4.4,Desserts,37 MINS,₹350 FOR TWO,50% off | Use WELCOME50
167,Flavor Matrix,4.4,"Indian, Kebabs, Biryani, Punjabi, Bengali, Seafood, Combo",40 MINS,₹400 FOR TWO,50% off | Use WELCOME50
168,Juicy Stuff,4.4,"Indian, Chinese, Beverages",42 MINS,₹650 FOR TWO,50% off | Use WELCOME50
169,Tejal's Kitchen,4.4,"Gujarati, Rajasthani, Salads, Jain, Snacks, North Indian",45 MINS,₹250 FOR TWO,50% off | Use WELCOME50
170,SLAY Coffee,4.4,"Beverages, Desserts",40 MINS,₹200 FOR TWO,50% off | Use WELCOME50
171,Sesami,4.4,"Japanese, Asian",48 MINS,₹1200 FOR TWO,50% off | Use WELCOME50
172,Myfroyoland,4.4,"Desserts, Ice Cream, Keto",35 MINS,₹400 FOR TWO,50% off | Use WELCOME50
173,Fit Food Company,4.4,"Beverages, Continental, Healthy Food, Juices, Salads",37 MINS,₹400 FOR TWO,50% off | Use WELCOME50
